ID,DATE,DEXUSEU
593,2017-07-11,1.1430
594,2017-07-12,1.1411
595,2017-07-13,1.1385
596,2017-07-14,1.1452
597,2017-07-17,1.1470
598,2017-07-18,1.1578
599,2017-07-19,1.1518
600,2017-07-20,1.1634
601,2017-07-21,1.1655
602,2017-07-24,1.1642
603,2017-07-25,1.1656
604,2017-07-26,1.1632
605,2017-07-27,1.1656
606,2017-07-28,1.1754
607,2017-07-31,1.1826
608,2017-08-01,1.1799
609,2017-08-02,1.1861
610,2017-08-03,1.1880
611,2017-08-04,1.1754
612,2017-08-07,1.1788
613,2017-08-08,1.1724
614,2017-08-09,1.1748
615,2017-08-10,1.1751
616,2017-08-11,1.1811
617,2017-08-14,1.1786
618,2017-08-15,1.1736
619,2017-08-16,1.1703
620,2017-08-17,1.1736
621,2017-08-18,1.1748
622,2017-08-21,1.1814
623,2017-08-22,1.1762
624,2017-08-23,1.1802
625,2017-08-24,1.1801
626,2017-08-25,1.1874
627,2017-08-28,1.1973
628,2017-08-29,1.2025
629,2017-08-30,1.1927
630,2017-08-31,1.1894
631,2017-09-01,1.1878
632,2017-09-04,.
633,2017-09-05,1.1911
634,2017-09-06,1.1943
635,2017-09-07,1.2028
636,2017-09-08,1.2041
637,2017-09-11,1.1964
638,2017-09-12,1.1968
639,2017-09-13,1.1898
640,2017-09-14,1.1886
641,2017-09-15,1.1959
642,2017-09-18,1.1938
643,2017-09-19,1.1980
644,2017-09-20,1.1998
645,2017-09-21,1.1946
646,2017-09-22,1.1969
647,2017-09-25,1.1852
648,2017-09-26,1.1772
649,2017-09-27,1.1747
650,2017-09-28,1.1776
651,2017-09-29,1.1813
652,2017-10-02,1.1745
653,2017-10-03,1.1759
654,2017-10-04,1.1760
655,2017-10-05,1.1706
656,2017-10-06,1.1732
657,2017-10-09,.
658,2017-10-10,1.1804
659,2017-10-11,1.1847
660,2017-10-12,1.1840
661,2017-10-13,1.1837
662,2017-10-16,1.1810
663,2017-10-17,1.1754
664,2017-10-18,1.1775
665,2017-10-19,1.1842
666,2017-10-20,1.1770
667,2017-10-23,1.1762
668,2017-10-24,1.1766
669,2017-10-25,1.1802
670,2017-10-26,1.1700
671,2017-10-27,1.1580
672,2017-10-30,1.1626
673,2017-10-31,1.1648
674,2017-11-01,1.1618
675,2017-11-02,1.1672
676,2017-11-03,1.1616
677,2017-11-06,1.1600
678,2017-11-07,1.1577
679,2017-11-08,1.1591
680,2017-11-09,1.1648
681,2017-11-10,.
682,2017-11-13,1.1656
683,2017-11-14,1.1764
684,2017-11-15,1.1794
685,2017-11-16,1.1772
686,2017-11-17,1.1799
687,2017-11-20,1.1741
688,2017-11-21,1.1741
689,2017-11-22,1.1789
690,2017-11-23,.
691,2017-11-24,1.1936
692,2017-11-27,1.1911
693,2017-11-28,1.1878
694,2017-11-29,1.1858
695,2017-11-30,1.1898
696,2017-12-01,1.1910
697,2017-12-04,1.1848
698,2017-12-05,1.1820
699,2017-12-06,1.1788
700,2017-12-07,1.1790
701,2017-12-08,1.1761
702,2017-12-11,1.1802
703,2017-12-12,1.1725
704,2017-12-13,1.1762
705,2017-12-14,1.1778
706,2017-12-15,1.1778
707,2017-12-18,1.1804
708,2017-12-19,1.1822
709,2017-12-20,1.1881
710,2017-12-21,1.1872
711,2017-12-22,1.1839
712,2017-12-25,.
713,2017-12-26,1.1867
714,2017-12-27,1.1902
715,2017-12-28,1.1952
716,2017-12-29,1.2022
717,2018-01-01,.
718,2018-01-02,1.2050
719,2018-01-03,1.2030
720,2018-01-04,1.2064
721,2018-01-05,1.2039
722,2018-01-08,1.1973
723,2018-01-09,1.1922
724,2018-01-10,1.1958
725,2018-01-11,1.2035
